name,category,size,avg doc length,avg sentence length,avg sentences in doc,avg text dynamics,avg nouns to verbs,avg stopwords to words,avg punctuation to words
web_artykuły_urzędy,Internet,4717,750.4194021774127,20.543623098752512,36.528094317646485,0.05352518152141868,6.985314614822876,0.2717370952697394,0.19363345094550788
web_artykuły_zdrowie,Internet,4688,1016.2289373030201,16.318900591013527,62.27312505737279,0.08510978401772364,4.0989996261250035,0.31856059937820286,0.17339274261186255
web_artykuły_inne_zdrowie_1,Internet,4735,699.922843,14.536316260873896,48.149946,0.10090901405256751,3.1494544895204095,0.35582219453294794,0.18182925771433925
web_artykuły_inne_zdrowie_2,Internet,5707,843.753355,14.29780048765007,59.012808,0.10007883761244422,3.2435935472994997,0.3519097841098362,0.1859122847576707
web_artykuły_inne_zdrowie_3,Internet,2077,666.7963256127534,14.665356828428662,45.46744640540725,0.10391504524020174,2.9673069947636113,0.3537841642487529,0.19246675772242805
web_dokumenty_nieskategoryzowane,Internet,13443,3712.8710026864555,20.25437479135495,183.31205188674582,0.056365739909520006,5.684311202297169,0.21372314993631994,0.2431503202764004
web_dokumenty_religia,Internet,1035,6368.9416889812555,17.533846146905894,363.23700091922785,0.0947294158930539,2.7875428189638947,0.3322855327170787,0.24317476784400638
web_dokumenty_edukacja,Internet,1091,3048.9022640239027,19.49280034782501,156.41171148424021,0.0498882732081873,7.532197423210143,0.21425894301387388,0.2478494363599033
web_dokumenty_prawo_inne,Internet,1624,5715.818098139342,24.20535534550306,236.13857415240307,0.04599681778557961,7.529204808651338,0.19367182094423638,0.19636674794974113
web_dokumenty_prawo_rozporzadzenia,Internet,443,3614.9804370551046,28.791806024044796,125.55587635024142,0.03644398364326564,9.248784955552592,0.18300555503367041,0.2217251369439028
web_dokumenty_prawo_uchwały,Internet,1098,2486.011428796886,27.67346021235906,89.83377610605503,0.03831797220456522,8.427563475177157,0.16152114547618793,0.2311358471078889
web_dokumenty_prawo_ustawy,Internet,1377,8706.8847251284,28.735326160858488,303.00281529389383,0.04070879607799451,8.449236387304685,0.21503775237020514,0.19697431795395504
web_dokumenty_prawo_zarzadzenia,Internet,433,2036.9664338377959,27.032077054082784,75.35367814180387,0.035797872286140876,9.280475631886281,0.16221116775928046,0.2103915005747406
web_dokumenty_inne,Internet,653,3532.549744897959,24.182204830906908,146.08054846938776,0.04795639603844566,6.491216617858596,0.16530085188077787,0.21401697370554237
web_dokumenty_inne_ankiety,Internet,66,888.6178433060697,15.895056903933224,55.90529487731382,0.05054718781083335,6.619661211874356,0.256583929562142,0.5664539228781462
